;0
realDonaldTrump;0
LouDobbs;1
GOPLeader;1
senatemajldr;1
Jim_Jordan;2
MariaBartiromo;2
VP;1
GOPChairwoman;0
parscale;0
PressSec;1
JesseBWatters;2
WhiteHouse;1
Scavino45;1
KellyannePolls;0
IngrahamAngle;2
Mike_Pence;1
TeamTrump;0
seanhannity;0
CLewandowski_;0
KatrinaPierson;0
foxandfriends;1
GeraldoRivera;0
ericbolling;0
DanScavino;0
EricTrump;0
DonaldJTrumpJr;0
IvankaTrump;1
FLOTUS;1
RudyGiuliani;0
DevinNunes;2
charliekirk11;0
LindseyGrahamSC;1
JackPosobiec;0
JennaEllisEsq;2
EliseStefanik;1
RNCResearch;0
TrumpWarRoom;0
marcorubio;1
TimMurtaugh;0
kayleighmcenany;0
GOP;0
OANN;0
HawleyMO;2
RepLeeZeldin;1
RepDougCollins;1
NRA;1
RepMattGaetz;1
KimStrassel;2
thejtlewis;0
GreggJarrett;0
TomFitton;1
MZHemingway;2
dbongino;2
SaraCarterDC;1
dcexaminer;2
DailyCaller;0
ChuckGrassley;1
SenThomTillis;1
RealJamesWoods;0
SenRonJohnson;1
MarshaBlackburn;1
SteveScalise;1
Varneyco;0
marklevinshow;2
SenTomCotton;1
RichardGrenell;2
hughhewitt;2
brithume;2
HouseGOP;1
SenateGOP;1
FoxNews;1
JudicialWatch;2
BreitbartNews;0
SenTedCruz;1
tedcruz;2
RandPaul;1
thehill;1
BuckSexton;2
PollWatch2020;2
thebradfordfile;2
seanmdav;2
RepAndyBiggsAZ;1
RepMarkMeadows;1
DavidJHarrisJr;0
TVNewsHQ;0
ByronYork;2
bennyjohnson;2
SenJohnBarrasso;1
jsolomonReports;2
GOPoversight;1
CDCgov;1
NHC_Atlantic;1
fema;1
AndrewCMcCarthy;2
TheRightMelissa;0
JohnWHuber;2
Lrihendry;0
