,0,Kategorie
1,realDonaldTrump,politician
2,WhiteHouse,political_org
3,TeamTrump,political_org
4,GOPChairwoman,politician
5,DanScavino,private
6,Jim_Jordan,politician
7,GOP,political_org
8,Scavino45,administration
9,DonaldJTrumpJr,family
10,IvankaTrump,family
11,GreggJarrett,news
12,EricTrump,family
13,TomFitton,private
14,paulsperry_,administration
15,RepMarkMeadows,politician
16,marklevinshow,private
17,TrumpWarRoom,political_org
18,LindseyGrahamSC,politician
19,charliekirk11,private
20,dbongino,private
21,SenateGOP,politician
22,GOPLeader,politician
23,JudicialWatch,political_org
24,senatemajldr,politician
25,foxandfriends,news
26,seanhannity,news
27,VP,administration
28,SteveScalise,politician
29,MZHemingway,news
30,FLOTUS,administration
31,LouDobbs,news
32,DailyCaller,news
33,BuckSexton,private
34,RepAndyBiggsAZ,politician
35,RepLeeZeldin,politician
36,KimStrassel,news
37,Mike_Pence,private
38,MariaBartiromo,news
39,PressSec,administration
40,SaraCarterDC,news
41,RepDougCollins,politician
42,RepMattGaetz,politician
43,NHC_Atlantic,political_org
44,JohnWHuber,administration
45,MarshaBlackburn,politician
46,AndrewCMcCarthy,news
47,RandPaul,politician
48,IngrahamAngle,news
49,TVNewsHQ,private
50,mike_pence,private
51,jsolomonReports,news
52,CLewandowski_,administration
53,parscale,private
54,GOPoversight,political_org
55,ByronYork,news
56,FoxNews,news
57,GeraldoRivera,private
58,DevinNunes,private
59,BreitbartNews,news
60,SenTomCotton,politician
61,dcexaminer,news
62,thebradfordfile,private
63,RNCResearch,political_org
64,DRUDGE_REPORT,private
65,seanmdav,private
66,JackPosobiec,private
67,CDCgov,administration
68,marcorubio,
69,Lrihendry,administration
70,SenTedCruz,politician
71,thehill,news
72,PollWatch2020,private
73,OANN,news
74,DavidJHarrisJr,private
75,JennaEllisEsq,administration
76,NRA,political_org
77,Varneyco,news
78,kayleighmcenany,administration
79,RudyGiuliani,administration
80,hughhewitt,news
81,JesseBWatters,news
82,HouseGOP,political_org
83,RealJamesWoods,private
84,fema,political_org
85,KatrinaPierson,administration
86,SenJohnBarrasso,politician
87,ericbolling,news
88,HawleyMO,politician
89,thejtlewis,politician
90,TimMurtaugh,administration
91,RichardGrenell,administration
92,tedcruz,private
93,bennyjohnson,news
94,TheRightMelissa,private
95,KellyannePolls,administration
96,SenRonJohnson,politician
97,SenThomTillis,politician
98,EliseStefanik,politician
99,brithume,news
100,ChuckGrassley,politician
